idstore,visitors
680,31871
377,4204
412,27391
661,16019
676,146949
18,91749
395,9166
39,1083
149,24094
221,41783
421,9063
188,3570
657,643
620,75279
267,52455
115,1923
645,4649
351,7302
279,2088
73,24621
668,28644
6,51152
411,5223
164,2486
31,3992
547,97042
332,4943
255,3376
223,11831
148,20335
692,10222
182,6283
13,16208
21,72008
374,24131
603,11990
231,25514
276,3630
658,2079
478,18451
542,79798
600,59340
557,20185
544,16935
70,23725
353,17959
361,2734
278,3168
51,100179
406,18684
592,20718
370,74507
343,11145
37,3199
154,10375
93,9651
568,11505
443,14799
99,34863
203,9103
16,9546
237,11288
15,10345
403,4226
319,71526
451,2773
394,33143
140,16041
133,129123
450,9784
250,59216
243,11349
85,1567
526,4637
585,13795
354,20339
718,71741
38,17766
569,9190
518,100965
268,4457
415,19840
74,1752
695,97284
90,471
444,21253
171,37560
616,5255
299,528
527,29679
156,15497
578,28700
222,66418
690,6336
689,840
626,43343
558,61231
226,16177
49,158711
60,10763
266,11594
113,3113
347,27089
217,37851
583,2190
489,3212
220,54490
663,7317
170,44345
NA,75279
405,32258
546,4116
367,35367
410,2257
635,63186
64,2113
656,5778
646,18627
579,3109
449,75952
498,197035
128,33860
17,100543
356,4933
418,5753
714,2605
564,5643
447,35376
533,1148
262,52757
572,81321
632,8137
197,27287
363,3286
36,15455
469,11133
580,35831
358,155284
228,5750
138,44666
506,22527
352,117073
675,27158
86,23839
344,2213
273,124070
125,1874
442,104123
172,42798
376,76626
427,4337
457,1456
613,18883
513,107590
61,10170
563,17010
642,45094
246,6133
26,66800
524,936
536,6059
301,7271
398,17546
701,16581
341,6992
439,79655
425,2306
467,37708
482,33971
57,174997
225,112770
566,17921
390,2272
348,37191
517,5164
369,15012
538,1253
192,41901
586,6002
514,25826
590,10849
371,4073
485,82820
292,84484
40,89994
476,1262
84,18513
289,1768
76,7368
511,17990
697,78833
389,103882
219,1184
537,51708
382,75636
556,92331
81,26104
486,32904
335,972
303,4021
98,54587
493,45996
700,32923
445,16119
146,42693
705,7516
194,57702
265,619
468,2629
509,39453
121,57475
519,38402
320,15813
702,1126
530,2487
631,54554
280,57864
625,6309
414,9798
46,51182
602,8428
27,2189
548,23769
336,61140
5,11064
232,62260
436,44886
169,4972
180,50303
470,10087
477,2320
615,9694
605,6059
577,36011
178,37471
719,579
215,22721
135,11595
309,5239
383,4858
43,11359
471,856
685,1236
350,86671
32,2500
651,7454
610,2201
360,55073
271,1803
111,4821
175,4613
728,3993
48,6059
446,14209
213,11568
109,15629
416,8504
324,3889
131,62938
82,58758
263,2622
94,99798
387,45576
362,93270
173,1516
372,1869
662,73054
570,4780
52,8662
678,6440
253,1235
462,1522
105,3967
364,57991
337,26222
260,74794
314,48791
490,4534
264,17152
551,2469
359,52670
179,23268
254,3050
393,811
521,61468
346,1994
621,28912
174,28423
118,15436
721,61490
552,55742
25,83609
713,3040
103,8163
647,19548
139,5412
158,1626
134,53840
200,19558
152,36274
258,107804
588,526
407,16515
659,75742
507,5194
473,2301
144,70403
430,38590
53,2326
419,81737
14,72737
281,15462
618,732
531,8056
270,8587
479,57168
460,20926
722,64195
80,40724
496,3933
637,21751
365,26067
448,19583
327,65452
674,95643
110,52439
141,2401
238,4379
707,20221
599,3786
288,25647
604,21270
366,57374
199,1909
455,2829
522,20207
284,11045
607,3183
500,913
261,1882
166,8357
224,11600
187,46299
34,2407
576,112843
502,5058
63,5257
95,776
45,22103
638,7300
429,40748
375,1855
256,498
534,3171
404,37536
397,10399
452,84628
333,24120
717,1503
296,7555
357,998
91,11338
693,99092
724,7876
44,137869
505,5531
245,26357
114,18417
101,38736
